,input_bits,circuit_length,success_probability
0,10,2,0.99
1,01,6,0.98
2,00,5,0.978
3,00,4,0.954
4,00,3,0.982
5,00,3,0.984
6,10,4,0.982
7,10,4,0.982
8,00,1,0.968
9,01,1,0.978
