,input_bits,circuit_length,success_probability
0,11,1,1.0
1,00,1,0.98
2,11,6,0.98
3,00,5,0.97
4,01,4,0.99
5,00,3,0.99
6,01,1,1.0
7,01,2,0.97
8,10,2,0.98
9,10,6,0.93
