,input_bits,circuit_length,success_probability
0,01,3,0.9
1,01,3,0.81
2,00,5,0.96
3,11,3,0.9
4,01,1,0.96
5,11,6,0.94
6,10,4,0.89
7,01,6,0.93
8,01,3,0.8
9,00,5,0.91
