,input_bits,circuit_length,success_probability
0,01,1,0.97
1,00,5,0.9
2,01,5,0.91
3,01,4,0.884
4,01,6,0.956
5,00,1,0.94
6,00,1,0.924
7,01,5,0.906
8,00,3,0.918
9,01,3,0.834
