,input_bits,circuit_length,success_probability
0,11,2,0.93
1,11,2,0.89
2,01,3,0.94
3,10,2,0.93
4,10,5,0.96
5,10,1,0.96
6,10,1,0.95
7,00,1,0.97
8,00,1,0.94
9,00,6,0.92
