,input_bits,circuit_length,success_probability
0,00,4,0.97
1,10,6,0.98
2,01,3,0.95
3,10,2,0.99
4,00,5,0.97
5,11,3,0.93
6,11,4,1.0
7,11,3,0.97
8,00,6,0.95
9,10,3,0.99
