,input_bits,circuit_length,success_probability
0,01,5,0.98
1,10,3,0.98
2,11,3,0.99
3,11,2,0.97
4,11,4,1.0
5,10,5,0.99
6,00,2,0.96
7,11,2,0.94
8,10,5,0.99
9,01,2,0.98
