,input_bits,circuit_length,success_probability
0,00,3,0.93
1,01,2,0.93
2,01,2,0.94
3,11,2,0.9
4,00,5,0.94
5,01,2,0.94
6,10,2,0.92
7,10,6,0.94
8,11,5,0.92
9,11,2,0.94
10,10,1,0.95
11,01,1,0.93
12,00,3,0.93
13,10,6,0.95
14,10,1,0.94
15,11,4,0.92
16,00,1,0.96
17,01,4,0.95
18,11,1,0.9
19,11,4,0.91
20,11,5,0.95
21,11,6,0.92
22,00,5,0.94
23,01,2,0.92
24,01,2,0.92
