,input_bits,circuit_length,success_probability
0,11,2,0.93
1,10,6,0.96
2,01,3,0.94
3,11,6,0.91
4,10,1,0.95
5,11,6,0.88
6,01,6,0.9
7,11,1,0.89
8,00,4,0.95
9,01,2,0.94
